DoseTime,Sol,AnTime,AveAll,SDAll,Chabs
0,0,0,0.473333333,0.004624812,0
20,0,0,0.536833333,0.014328488,0.0635
40,0,0,0.583166667,0.00481029,0.109833334
80,0,0,0.658083333,0.013708017,0.18475
120,0,0,0.715,0.016881943,0.241666667
0,25,0,0.69575,0.013911177,0
20,25,0,0.803083333,0.014551394,0.107333333
40,25,0,0.956166667,0.034901846,0.260416667
80,25,0,1.114083333,0.055221461,0.418333333
120,25,0,1.258416667,0.04697421,0.562666667
0,50,0,0.794916667,0.01609585,0
20,50,0,0.953833333,0.023695405,0.158916666
40,50,0,1.132916667,0.038906851,0.338
80,50,0,1.3595,0.033340416,0.564583333
120,50,0,1.675833333,0.055401314,0.880916666